version,curso,id_entrada,glosa_estandar,clase_gramatical,definicion,composicion,secuencia,requiere_definicion,imagen_optima,tipo_sena,cm1,cm2,cm3,cm4,cm5,nombre_video,glosa_limpia,subnivel,red_semantica,nivel
DBLSC,LSC0,35,CONTENTO(1),ADJETIVO,"Alegre, satisfecho. (RAE)",NO,1 seña,NO,SI,Simétrica (tipo I),Bl,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00035_contento.mp4,CONTENTO 1,test2,56,A1
DBLSC,LSC0,36,DECIR,VERBO,Manifestar con palabras el pensamiento. (RAE),NO,1 seña,NO,SI,Unimanual en contacto (tipo X),P,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00036_decir.mp4,DECIR,test2,9,A1
DBLSC,LSC0,37,ORGANIZAR,VERBO,"Establecer o reformar algo para lograr un fin, coordinando las personas y los medios adecuados. (RAE)",NO,1 seña,NO,SI,Semi-simétrica (tipo II),Tb,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00037_organizar.mp4,ORGANIZAR,test1,48,A2
DBLSC,LSC0,38,EXPLICAR,VERBO,"Declarar o exponer cualquier materia, doctrina o texto difícil, con palabras muy claras para hacerlos más perceptibles. (RAE)",NO,1 seña,NO,SI,Semi-simétrica (tipo II),Tb,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00038_explicar.mp4,EXPLICAR,test2,9,A1
DBLSC,LSC1,39,ABUSO,VERBO,"Acción y efecto de abusar (hacer uso excesivo, injusto o indebido de algo o de alguien). (RAE)",NO,1 seña,NO,SI,Unimanual en contacto (tipo X),A,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00039_abuso.mp4,ABUSO,test4,22,B2
DBLSC,LSC1,40,VIOLAR,VERBO,Tener acceso carnal con alguien en contra de su voluntad o cuando se halla privado de sentido o discernimiento. (RAE),NO,1 seña,SI,SI,Unimanual (tipo 0),Y,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00040_violar.mp4,VIOLAR,test1,28,B2
DBLSC,LSC0,41,PEDIR-PERDON,VERBO,Solicitar disculpas por una ofensa o falta cometida. No aplica para dar el perdón a alguien. Ver 1710_PERDON (AB),NO,1 seña,NO,SI,Semi-simétrica (tipo II),B,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00041_pedirperdo.mp4,PEDIR PERDON,test1,37,A1
DBLSC,LSC0,42,OLLA,SUSTANTIVO,"Vasija redonda de barro o metal, que comúnmente forma barriga, con cuello y boca anchos y con una o dos asas, la cual sirve para cocer alimentos, calentar agua, etc. (RAE)",NO,1 seña,NO,SI,Simétrica (tipo I),Ul,U,Sin especificar,Sin especificar,Sin especificar,00042_olla.mp4,OLLA,test4,17,A2
DBLSC,LSC0,43,PORFAVOR,ADVERBIO,Fórmula de cortesía que se emplea al hacer una petición o al solicitar algo. (Generada Gemini),NO,1 seña,SI,SI,Unimanual en contacto (tipo X),Af,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00043_porfavor.mp4,PORFAVOR,test3,75,A1
DBLSC,LSC0,44,TODAVIA,ADVERBIO,Hasta un momento determinado desde tiempo anterior. (RAE),NO,1 seña,NO,SI,Simétrica (tipo I),Y,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00044_todaviay.mp4,TODAVIA,test1,55,A1
DBLSC,LSC0,45,DIEZ-DOS,SUSTANTIVO,Combinación numérica que hace referencia a los números diez y dos. (Generada Gemini),SI,2 señas,NO,SI,Asimétrica (tipo III),A,V,Sin especificar,Sin especificar,Sin especificar,00045_diezdos.mp4,DIEZ DOS,test4,14,A1
DBLSC,LSC0,46,PERDER-CAER,VERBO,Concepto que puede aludir a no obtener lo que se espera o a la acción de precipitarse al suelo. (Generada Gemini),SI,2 señas,SI,SI,Simétrica (tipo I),S,Q,J,Sin especificar,Sin especificar,00046_perdercaer.mp4,PERDER CAER,test4,3,A1
DBLSC,LSC0,47,MOSTRAR,VERBO,"Manifestar o poner a la vista algo, o enseñarlo o señalarlo para que se vea. (RAE)",NO,1 seña,NO,SI,Asimétrica (tipo III),Bl,P,Sin especificar,Sin especificar,Sin especificar,00047_mostrar.mp4,MOSTRAR,test4,20,A1
DBLSC,LSC0,48,MEDICO,SUSTANTIVO,Persona legalmente autorizada para profesar y ejercer la medicina. (RAE),NO,1 seña,NO,SI,Asimétrica (tipo III),Gl,Nc,Sin especificar,Sin especificar,Sin especificar,00048_medico.mp4,MEDICO,test2,19,A2
DBLSC,LSC0,49,AÑO,SUSTANTIVO,"Período de doce meses, a contar desde el día 1 de enero hasta el 31 de diciembre, ambos inclusive. (RAE)",NO,1 seña,NO,SI,Semi-simétrica (tipo II),S,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00049_año.mp4,ANO,test1,88,A1
DBLSC,LSC0,50,ACEPTAR,VERBO,"Recibir voluntariamente o sin oposición lo que se da, ofrece o encarga. (RAE)",NO,1 seña,NO,SI,Simétrica (tipo I),Jc,Q,Sin especificar,Sin especificar,Sin especificar,00050_aceptar.mp4,ACEPTAR,test3,7,A1
DBLSC,LSC0,51,UN_DOS_MINUTOS,SUSTANTIVO,"Expresión de corpus que indica un lapso de tiempo muy breve, de uno a dos minutos. (Generada Gemini)",NO,1 seña,SI,SI,Asimétrica (tipo III),P,V,Sin especificar,Sin especificar,Sin especificar,00051_undosminut.mp4,UN DOS MINUTOS,test3,82,A1
DBLSC,LSC0,52,PRIMARIA,SUSTANTIVO,Perteneciente o relativo a la primera enseñanza o educación. (RAE),NO,1 seña,SI,SI,Unimanual (tipo 0),Vf,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00052_primaria.mp4,PRIMARIA,test3,47,A2
DBLSC,LSC0,53,ALCOBA,SUSTANTIVO,Aposento destinado para dormir. (RAE),SI,2 señas,NO,SI,Simétrica (tipo I),F,B,Sin especificar,Sin especificar,Sin especificar,00053_alcoba.mp4,ALCOBA,test3,77,A2
DBLSC,LSC0,54,MEDIAS-LARGA,SUSTANTIVO,"Prenda de punto, seda, nailon, etc., que cubre el pie y la pierna hasta la rodilla o más arriba. (Generada Gemini)",NO,1 seña,NO,SI,Semi-simétrica (tipo II),B,Bl,Sin especificar,Sin especificar,Sin especificar,00054_mediaslarg.mp4,MEDIAS LARGA,test4,43,A1
DBLSC,LSC0,55,OLER(1),VERBO,Percibir los olores. (RAE),NO,1 seña,NO,SI,Unimanual en contacto (tipo X),P,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00055_oler.mp4,OLER 1,test2,56,A1
DBLSC,LSC0,56,ARBITRO,SUSTANTIVO,Persona que en las competiciones deportivas cuida de la aplicación del reglamento. (RAE),SI,2 señas,NO,SI,Compuestas (tipo C),Xf,B,Sin especificar,Sin especificar,Sin especificar,00056_arbitro.mp4,ARBITRO,test3,65,A2
DBLSC,LSC0,57,ACOMPAÑAR,VERBO,Estar o ir en compañía de otra u otras personas. (RAE),NO,1 seña,NO,SI,Simétrica (tipo I),A,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00057_acompañar.mp4,ACOMPANAR,test3,28,A1
DBLSC,LSC0,58,JEFE(1),SUSTANTIVO,"Persona que manda o dirige a otras, superior o cabeza de una corporación, partido u oficio. (RAE)",NO,1 seña,NO,SI,Semi-simétrica (tipo II),A,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00058_jefe1.mp4,JEFE 1,test3,83,A1
DBLSC,LSC0,59,PINCEL,SUSTANTIVO,"Instrumento, compuesto de un mango largo y delgado, que lleva en uno de sus extremos un manojito de pelos, y que sirve para pintar. (RAE)",SI,2 señas,NO,SI,Asimétrica (tipo III),P,Tc,Sin especificar,Sin especificar,Sin especificar,00059_pincel.mp4,PINCEL,test2,5,A2
DBLSC,LSC0,60,MINUTO,SUSTANTIVO,Unidad de tiempo que equivale a 60 segundos y es la sexagésima parte de una hora. (RAE),NO,1 seña,NO,SI,Asimétrica (tipo III),P,Af,Sin especificar,Sin especificar,Sin especificar,00060_minuto.mp4,MINUTO,test1,8,A1
DBLSC,LSC0,61,BARATO,ADJETIVO,"Que se vende, se compra o se ofrece a bajo precio. (RAE)",NO,1 seña,SI,SI,Semi-simétrica (tipo II),Bl,Be,Sin especificar,Sin especificar,Sin especificar,00061_barato.mp4,BARATO,test2,26,A1
DBLSC,LSC0,62,JUICIOSO,ADJETIVO,Que procede con madurez y cordura. (RAE),NO,1 seña,NO,SI,Simétrica (tipo I),B,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00062_juicioso.mp4,JUICIOSO,test2,56,A1
DBLSC,LSC0,63,MÁS-O-MENOS,ADVERBIO,"Expresión que indica aproximación, cantidad imprecisa o estimación. (Generada Gemini)",NO,1 seña,NO,SI,Unimanual (tipo 0),Bc,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00063_masomenos.mp4,MAS O MENOS,test2,12,A1
DBLSC,LSC0,64,PRENDER-LA-LUZ,VERBO,Acción de encender la iluminación artificial de un espacio o activar un circuito eléctrico. (Generada Gemini),NO,1 seña,NO,NO,Unimanual (tipo 0),Jc,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00064_prendeluz.mp4,PRENDER LA LUZ,test3,70,A1
DBLSC,LSC0,65,¿CUAL?,FUNCION,Pronombre interrogativo que sirve para preguntar por la identidad de una persona o cosa entre varias. (Generada Gemini),NO,1 seña,NO,SI,Simétrica (tipo I),A,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00065_cual.mp4,CUAL?,test3,35,A1
DBLSC,LSC0,66,CENTRO-DE-LA-CIUDAD,ADJETIVO,"Zona principal, más concurrida, histórica o comercial de una población. (Generada Gemini)",NO,1 seña,NO,SI,Simétrica (tipo I),J,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00066_centrociud.mp4,CENTRO DE LA CIUDAD,test3,13,A1
DBLSC,LSC0,67,VESTIDO-DE-BAÑO,SUSTANTIVO,"Prenda de vestir usada para bañarse en el mar, en piscinas, etc. (Generada Gemini)",SI,3 señas,NO,SI,Compuestas (tipo C),Lc,L,V,Sin especificar,Sin especificar,00067_trajedeban.mp4,VESTIDO DE BANO,test1,66,A2
DBLSC,LSC0,68,CARO,ADJETIVO,Que tiene un precio alto o más alto de lo normal. (RAE),NO,1 seña,NO,SI,Asimétrica (tipo III),Q,B,Sin especificar,Sin especificar,Sin especificar,00068_caro.mp4,CARO,test2,56,A1
DBLSC,LSC0,69,TIENDA,SUSTANTIVO,Establecimiento o puesto en el que se venden al público artículos de comercio al por menor. (RAE),NO,1 seña,SI,SI,Simétrica (tipo I),B,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00069_tienda.mp4,TIENDA,test2,19,A2
DBLSC,LSC0,70,AUMENTAR,VERBO,"Dar mayor extensión, número o materia a algo. (RAE)",NO,1 seña,NO,SI,Simétrica (tipo I),H,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00070_aumentar.mp4,AUMENTAR,test3,70,A2
DBLSC,LSC1,71,CABALGAR,VERBO,"Subir a caballo u otra cabalgadura, e ir montado en ella. (RAE)",NO,1 seña,NO,SI,Semi-simétrica (tipo II),H,V,Sin especificar,Sin especificar,Sin especificar,00071_cabalgar.mp4,CABALGAR,test4,51,B2
DBLSC,LSC1,72,ENTIDAD,SUSTANTIVO,"Colectividad considerada como unidad, como una corporación, institución, etc., tomada como persona jurídica. (RAE)",NO,1 seña,SI,SI,Asimétrica (tipo III),G,Be,Sin especificar,Sin especificar,Sin especificar,00072_entidad.mp4,ENTIDAD,test1,97,B2
DBLSC,LSC0,73,CAER,VERBO,Dicho de un cuerpo: Moverse de arriba abajo por la acción de su propio peso. (RAE),NO,1 seña,NO,SI,Asimétrica (tipo III),Bl,V,Sin especificar,Sin especificar,Sin especificar,00073_caer.mp4,CAER,test4,25,A2
DBLSC,LSC1,74,ACUEDUCTO,SUSTANTIVO,Conducto artificial por donde va el agua a un lugar determinado. (RAE),SI,3 señas,NO,SI,Compuestas (tipo C),B,Oke,A,Sin especificar,Sin especificar,00074_acueductoc.mp4,ACUEDUCTO,test1,67,B2
DBLSC,LSC1,75,ASPIRADORA,SUSTANTIVO,"Máquina que sirve para aspirar el polvo y la suciedad del suelo, alfombras, etc. (RAE)",NO,1 seña,NO,SI,Asimétrica (tipo III),C,Qa,Sin especificar,Sin especificar,Sin especificar,00075_aspiradora.mp4,ASPIRADORA,test3,57,B1
DBLSC,LSC0,76,RESPONSABLE,ADJETIVO,"Dicho de una persona: Que pone cuidado y atención en lo que hace o decide, obligada a responder por algo. (RAE)",NO,1 seña,SI,SI,Simétrica (tipo I),R,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00076_responsabl.mp4,RESPONSABLE,test4,20,A1
DBLSC,LSC1,77,CAPITAL,SUSTANTIVO,"Población principal y cabeza de un Estado, de una provincia o de un distrito. (RAE)",NO,1 seña,SI,SI,Asimétrica (tipo III),B,Ok,Sin especificar,Sin especificar,Sin especificar,00077_capital.mp4,CAPITAL,test2,34,B2
DBLSC,LSC0,78,ENCONTRAR-PERSONA,VERBO,"Acción de dar con alguien, toparse o reunirse de manera fortuita o planeada con una persona. (Generada Gemini)",NO,1 seña,NO,SI,Simétrica (tipo I),P,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00078_encontrarp.mp4,ENCONTRAR PERSONA,test2,41,A1
DBLSC,LSC0,79,CHIMENEA,SUSTANTIVO,Conducto para dar salida al humo de la combustión. (RAE),SI,2 señas,NO,SI,Semi-simétrica (tipo II),Bc,Jb,Sin especificar,Sin especificar,Sin especificar,00079_chimenea.mp4,CHIMENEA,test2,51,A2
DBLSC,LSC0,80,ESPERAR,VERBO,"Tener esperanza de conseguir lo que se desea, o permanecer en sitio donde se presume que ha de ocurrir algo. (RAE)",NO,1 seña,NO,SI,Simétrica (tipo I),N,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00080_esperar.mp4,ESPERAR,test2,9,A1
DBLSC,LSC0,81,SEÑAR,VERBO,"Articular signos lingüísticos con las manos y otras partes del cuerpo, propio de las lenguas de señas. (Generada Gemini)",NO,1 seña,NO,SI,Simétrica (tipo I),J,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00081_señar.mp4,SENAR,test4,52,A1
DBLSC,LSC0,82,CURIOSO,ADJETIVO,"Que tiene curiosidad, deseo de saber o averiguar algo. (RAE)",NO,1 seña,SI,SI,Unimanual en contacto (tipo X),P,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00082_curioso.mp4,CURIOSO,test4,38,A1
DBLSC,LSC0,83,TREN,SUSTANTIVO,"Medio de transporte que circula sobre raíles, compuesto por uno o más vagones arrastrados por una locomotora. (RAE)",NO,1 seña,NO,SI,Asimétrica (tipo III),J,V,Sin especificar,Sin especificar,Sin especificar,00083_tren.mp4,TREN,test4,52,A2
DBLSC,LSC0,84,MONTARSELA-ALGUIEN,VERBO,"Expresión coloquial de Colombia que significa hostigar, fastidiar o burlarse constantemente de una persona. (Generada Gemini)",NO,1 seña,SI,SI,Asimétrica (tipo III),S,V,Sin especificar,Sin especificar,Sin especificar,00084_montarsela.mp4,MONTARSELA ALGUIEN,test1,64,A1
DBLSC,LSC0,85,ENGAÑAR,VERBO,"Dar a la mentira apariencia de verdad, induciendo a alguien a tener por cierto lo que no lo es. (RAE)",NO,1 seña,SI,SI,Simétrica (tipo I),Y,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00085_engañar.mp4,ENGANAR,test1,64,A1
DBLSC,LSC0,86,EMBOBAR,VERBO,"Suspender o arrebatar el ánimo a alguien, de modo que se quede como absorto y sin sentido. (RAE)",NO,1 seña,NO,SI,Simétrica (tipo I),O,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00086_embobar.mp4,EMBOBAR,test4,10,A2
DBLSC,LSC0,87,CONFIRMAR,VERBO,"Corroborar la verdad, certeza o la probabilidad de algo. (RAE)",NO,1 seña,NO,SI,Simétrica (tipo I),Okf,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00087_confirmar.mp4,CONFIRMAR,test1,64,A1
DBLSC,LSC1,88,SEGURO-PORCENTAJE,SUSTANTIVO,Condición de certeza o garantía cuantificada en una proporción de porcentaje (e.g. 100% seguro). (Generada Gemini),NO,1 seña,NO,SI,Unimanual (tipo 0),Okf,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00088_seguroporc.mp4,SEGURO PORCENTAJE,test1,69,B2
DBLSC,LSC0,89,CALMA,ADJETIVO,"Paz, tranquilidad, ausencia de agitación. (RAE)",NO,1 seña,NO,SI,Unimanual en contacto (tipo X),Bl,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00089_calma.mp4,CALMA,test2,9,A1
DBLSC,LSC0,90,POR-FIN_QUE-ALIVIO,ADVERBIO,Expresión de exhalación o liberación emocional ante la resolución de un estado de tensión o espera. (Generada Gemini),SI,2 señas,NO,SI,Compuestas (tipo C),Pa,Ok,Sin especificar,Sin especificar,Sin especificar,00090_porfinquea.mp4,POR FIN QUE ALIVIO,test2,39,A1
DBLSC,LSC1,91,CAMPEON,ADJETIVO,Persona o equipo que obtiene la primacía en un campeonato. (RAE),NO,1 seña,NO,SI,Unimanual en contacto (tipo X),Gl,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00091_campeon.mp4,CAMPEON,test3,35,B1
DBLSC,LSC0,92,ABRIR,VERBO,Descubrir o hacer patente lo que está cerrado u oculto. (RAE),NO,1 seña,NO,SI,Simétrica (tipo I),Bl,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00092_abrir.mp4,ABRIR,test3,70,A2
