Version,Curso,ID_entrada,GLOSA,Clase Gramatical,DEFINICION,Composición,Secuencia,Definición especial,Imagen de la seña, Composición,Secuencia.1,Tipo de Seña,CM1,CM2,CM3,CM4,CM5,nombre_video
DBLSC,LSC0,18,SOBRINO,SUSTANTIVO,"Respecto de una persona, hijo de su hermano. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),H,H,,,,00018_sobrino.mp4
DBLSC,LSC0,19,APAGAR-LA-LUZ,VERBO,Interrumpir el paso de la corriente eléctrica o extinguir una fuente de iluminación. (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),Jb,Q,,,,00019_apagaluz.mp4
DBLSC,LSC0,20,BONITO,ADJETIVO,"Lindo, agraciado, de cierta proporción y belleza. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),J,Q,,,,00020_bonito.mp4
DBLSC,LSC0,21,TEMPRANO,ADVERBIO,"Adelantado, anticipado o que es antes del tiempo regular u ordinario. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),Ql,N,,,,00021_temprano.mp4
DBLSC,LSC0,22,CARRO,SUSTANTIVO,Vehículo automóvil. (RAE),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),S,S,,,,00022_carro.mp4
DBLSC,LSC0,23,JAMAS,ADVERBIO,Nunca. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),Bl,,,,,00023_jamas.mp4
DBLSC,LSC0,24,BOGOTA,SUSTANTIVO,Ciudad capital de Colombia y del departamento de Cundinamarca. (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),S,,,,,00024_bogota.mp4
DBLSC,LSC0,25,SAPO,SUSTANTIVO,"Anfibio anuro de cuerpo rechoncho, ojos saltones, extremidades cortas y piel de aspecto verrugoso. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),B,,,,,00025_sapo.mp4
DBLSC,LSC0,26,AMBULANCIA,SUSTANTIVO,Vehículo acondicionado para el traslado de enfermos y heridos. (RAE),NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),G,,,,,00026_ambulancia.mp4
DBLSC,LSC0,27,PERSONA,SUSTANTIVO,Individuo de la especie humana. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),Cb,,,,,00027_persona.mp4
DBLSC,LSC1,28,BIBLIA,SUSTANTIVO,Libro sagrado del cristianismo que comprende el Antiguo y el Nuevo Testamento. (Generada Gemini),SI,2 señas,NO,SI,SI,2 señas,Simétrica (tipo I),N,Bl,,,,00028_bibliajesu.mp4
DBLSC,LSC0,29,MARZO(1),SUSTANTIVO,"Tercer mes del año, que tiene 31 días. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),U,,,,,00029_marzo.mp4
DBLSC,LSC1,30,OCCIDENTE,SUSTANTIVO,"Oeste (punto cardinal). / Conjunto de países de varios continentes, cuyas lenguas y culturas tienen su origen principal en Europa. (RAE)",NO,1 seña,NO,SI,SI,2 señas,Unimanual (tipo 0),O,C,,,,00030_occidente.mp4
DBLSC,LSC1,31,ABUSO-SEXUAL,SUSTANTIVO,"Cualquier actividad sexual no consentida que involucra la fuerza, amenaza o abuso de poder. (Generada Gemini)",SI,2 señas,NO,SI,SI,2 señas,Asimétrica (tipo III),A,XX,,,,00031_abusosexua.mp4
DBLSC,LSC0,32,PARQUE,SUSTANTIVO,"Terreno situado en el interior de una población, que se destina a prados, jardines y arbolado sirviendo como lugar de esparcimiento y recreación. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),XX,,,,,00032_parque.mp4
DBLSC,LSC0,33,LO-SIENTO-PORFAVOR,VERBO,Expresión compuesta que une el arrepentimiento por un hecho y la solicitud de disculpas o de un favor. (Generada Gemini),NO,1 seña,SI,SI,NO,1 seña,Unimanual en contacto (tipo X),A,,,,,00033_losientofa.mp4
DBLSC,LSC0,34,CADA-UNO,FUNCION,Pronombre que designa por separado a todas las personas o cosas de que se trata. (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),A,,,,,00034_cadauno1.mp4
DBLSC,LSC0,35,CONTENTO(1),ADJETIVO,"Alegre, satisfecho. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),Bl,,,,,00035_contento.mp4
DBLSC,LSC0,36,DECIR,VERBO,Manifestar con palabras el pensamiento. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),P,,,,,00036_decir.mp4
DBLSC,LSC0,37,ORGANIZAR,VERBO,"Establecer o reformar algo para lograr un fin, coordinando las personas y los medios adecuados. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),Tb,,,,,00037_organizar.mp4
DBLSC,LSC0,38,EXPLICAR,VERBO,"Declarar o exponer cualquier materia, doctrina o texto difícil, con palabras muy claras para hacerlos más perceptibles. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),Tb,,,,,00038_explicar.mp4
DBLSC,LSC1,39,ABUSO,VERBO,"Acción y efecto de abusar (hacer uso excesivo, injusto o indebido de algo o de alguien). (RAE)",NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),A,,,,,00039_abuso.mp4
DBLSC,LSC1,40,VIOLAR,VERBO,Tener acceso carnal con alguien en contra de su voluntad o cuando se halla privado de sentido o discernimiento. (RAE),NO,1 seña,SI,SI,NO,1 seña,Unimanual (tipo 0),Y,,,,,00040_violar.mp4
DBLSC,LSC0,41,PEDIR-PERDON,VERBO,Solicitar disculpas por una ofensa o falta cometida. (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),B,,,,,00041_pedirperdo.mp4
DBLSC,LSC1,42,OLLA,SUSTANTIVO,"Vasija redonda de barro o metal, que comúnmente forma barriga, con cuello y boca anchos y con una o dos asas, la cual sirve para cocer alimentos, calentar agua, etc. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),Ul,U,,,,00042_olla.mp4
DBLSC,LSC0,43,PORFAVOR,ADVERBIO,Fórmula de cortesía que se emplea al hacer una petición o al solicitar algo. (Generada Gemini),NO,1 seña,SI,SI,NO,1 seña,Unimanual en contacto (tipo X),Af,,,,,00043_porfavor.mp4
DBLSC,LSC0,44,TODAVIA,ADVERBIO,Hasta un momento determinado desde tiempo anterior. (RAE),NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),Y,,,,,00044_todaviay.mp4
DBLSC,LSC0,45,DIEZ-DOS,SUSTANTIVO,Combinación numérica que hace referencia a los números diez y dos. (Generada Gemini),SI,2 señas,NO,SI,SI,2 señas,Asimétrica (tipo III),A,V,,,,00045_diezdos.mp4
DBLSC,LSC0,46,PERDER-CAER,VERBO,Concepto que puede aludir a no obtener lo que se espera o a la acción de precipitarse al suelo. (Generada Gemini),SI,2 señas,SI,SI,SI,2 señas,Simétrica (tipo I),S,Q,J,,,00046_perdercaer.mp4
DBLSC,LSC0,47,MOSTRAR,VERBO,"Manifestar o poner a la vista algo, o enseñarlo o señalarlo para que se vea. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),Bl,P,,,,00047_mostrar.mp4
DBLSC,LSC0,48,MEDICO,SUSTANTIVO,Persona legalmente autorizada para profesar y ejercer la medicina. (RAE),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),Gl,Nc,,,,00048_medico.mp4
DBLSC,LSC0,49,AÑO,SUSTANTIVO,"Período de doce meses, a contar desde el día 1 de enero hasta el 31 de diciembre, ambos inclusive. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),S,,,,,00049_año.mp4
DBLSC,LSC0,50,ACEPTAR,VERBO,"Recibir voluntariamente o sin oposición lo que se da, ofrece o encarga. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),Jc,Q,,,,00050_aceptar.mp4
DBLSC,LSC0,51,UN_DOS_MINUTOS,SUSTANTIVO,"Expresión de corpus que indica un lapso de tiempo muy breve, de uno a dos minutos. (Generada Gemini)",NO,1 seña,SI,SI,NO,1 seña,Asimétrica (tipo III),P,V,,,,00051_undosminut.mp4
DBLSC,LSC0,52,PRIMARIA,SUSTANTIVO,Perteneciente o relativo a la primera enseñanza o educación. (RAE),NO,1 seña,SI,SI,NO,1 seña,Unimanual (tipo 0),Vf,,,,,00052_primaria.mp4
DBLSC,LSC0,53,ALCOBA,SUSTANTIVO,Aposento destinado para dormir. (RAE),SI,2 señas,NO,SI,SI,2 señas,Simétrica (tipo I),F,B,,,,00053_alcoba.mp4
DBLSC,LSC0,54,MEDIAS-LARGA,SUSTANTIVO,"Prenda de punto, seda, nailon, etc., que cubre el pie y la pierna hasta la rodilla o más arriba. (Generada Gemini)",NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),B,Bl,,,,00054_mediaslarg.mp4
DBLSC,LSC0,55,OLER(1),VERBO,Percibir los olores. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),P,,,,,00055_oler.mp4
DBLSC,LSC0,56,ARBITRO,SUSTANTIVO,Persona que en las competiciones deportivas cuida de la aplicación del reglamento. (RAE),SI,2 señas ,NO,SI,SI,2 señas ,Compuestas (tipo C),Xf,B,,,,00056_arbitro.mp4
DBLSC,LSC0,57,ACOMPAÑAR,VERBO,Estar o ir en compañía de otra u otras personas. (RAE),NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),A,,,,,00057_acompañar.mp4
DBLSC,LSC0,58,JEFE(1),SUSTANTIVO,"Persona que manda o dirige a otras, superior o cabeza de una corporación, partido u oficio. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),A,,,,,00058_jefe1.mp4
DBLSC,LSC0,59,PINCEL,SUSTANTIVO,"Instrumento, compuesto de un mango largo y delgado, que lleva en uno de sus extremos un manojito de pelos, y que sirve para pintar. (RAE)",SI,2 señas,NO,SI,SI,2 señas,Asimétrica (tipo III),P,Tc,,,,00059_pincel.mp4
DBLSC,LSC0,60,MINUTO,SUSTANTIVO,Unidad de tiempo que equivale a 60 segundos y es la sexagésima parte de una hora. (RAE),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),P,Af,,,,00060_minuto.mp4
DBLSC,LSC0,61,BARATO,ADJETIVO,"Que se vende, se compra o se ofrece a bajo precio. (RAE)",NO,1 seña,SI,SI,NO,1 seña,Semi-simétrica (tipo II),Bl,Be,,,,00061_barato.mp4
DBLSC,LSC0,62,JUICIOSO,ADJETIVO,Que procede con madurez y cordura. (RAE),NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),B,,,,,00062_juicioso.mp4
DBLSC,LSC0,63,MÁS-O-MENOS,ADVERBIO,"Expresión que indica aproximación, cantidad imprecisa o estimación. (Generada Gemini)",NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),Bc,,,,,00063_masomenos.mp4
DBLSC,LSC0,64,PRENDER-LA-LUZ,VERBO,Acción de encender la iluminación artificial de un espacio o activar un circuito eléctrico. (Generada Gemini),NO,1 seña,NO,NO,NO,1 seña,Unimanual (tipo 0),Jc,,,,,00064_prendeluz.mp4
DBLSC,LSC0,65,¿CUAL?,FUNCION,Pronombre interrogativo que sirve para preguntar por la identidad de una persona o cosa entre varias. (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),A,,,,,00065_cual.mp4
DBLSC,LSC0,66,CENTRO-DE-LA-CIUDAD,ADJETIVO,"Zona principal, más concurrida, histórica o comercial de una población. (Generada Gemini)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),J,,,,,00066_centrociud.mp4
DBLSC,LSC0,67,VESTIDO-DE-BAÑO,SUSTANTIVO,"Prenda de vestir usada para bañarse en el mar, en piscinas, etc. (Generada Gemini)",SI,3 señas,NO,SI,SI,3 señas,Compuestas (tipo C),Lc,L,V,,,00067_trajedeban.mp4
DBLSC,LSC0,68,CARO,ADJETIVO,Que tiene un precio alto o más alto de lo normal. (RAE),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),Q,B,,,,00068_caro.mp4
DBLSC,LSC0,69,TIENDA,SUSTANTIVO,Establecimiento o puesto en el que se venden al público artículos de comercio al por menor. (RAE),NO,1 seña,SI,SI,NO,1 seña,Simétrica (tipo I),B,,,,,00069_tienda.mp4
DBLSC,LSC0,70,AUMENTAR,VERBO,"Dar mayor extensión, número o materia a algo. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),H,,,,,00070_aumentar.mp4
DBLSC,LSC1,71,CABALGAR,VERBO,"Subir a caballo u otra cabalgadura, e ir montado en ella. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),H,V,,,,00071_cabalgar.mp4
DBLSC,LSC1,72,ENTIDAD,SUSTANTIVO,"Colectividad considerada como unidad, como una corporación, institución, etc., tomada como persona jurídica. (RAE)",NO,1 seña,SI,SI,NO,1 seña,Asimétrica (tipo III),G,Be,,,,00072_entidad.mp4
DBLSC,LSC0,73,CAER,VERBO,Dicho de un cuerpo: Moverse de arriba abajo por la acción de su propio peso. (RAE),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),Bl,V,,,,00073_caer.mp4
DBLSC,LSC1,74,ACUEDUCTO,SUSTANTIVO,Conducto artificial por donde va el agua a un lugar determinado. (RAE),SI,3 señas,NO,SI,SI,3 señas,Compuestas (tipo C),B,Oke,A,,,00074_acueductoc.mp4
DBLSC,LSC1,75,ASPIRADORA,SUSTANTIVO,"Máquina que sirve para aspirar el polvo y la suciedad del suelo, alfombras, etc. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),C,Qa,,,,00075_aspiradora.mp4
DBLSC,LSC0,76,RESPONSABLE,ADJETIVO,"Dicho de una persona: Que pone cuidado y atención en lo que hace o decide, obligada a responder por algo. (RAE)",NO,1 seña,SI,SI,NO,1 seña,Simétrica (tipo I),R,,,,,00076_responsabl.mp4
DBLSC,LSC1,77,CAPITAL,SUSTANTIVO,"Población principal y cabeza de un Estado, de una provincia o de un distrito. (RAE)",NO,1 seña,SI,SI,NO,1 seña,Asimétrica (tipo III),B,Ok,,,,00077_capital.mp4
DBLSC,LSC0,78,ENCONTRAR-PERSONA,VERBO,"Acción de dar con alguien, toparse o reunirse de manera fortuita o planeada con una persona. (Generada Gemini)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),P,,,,,00078_encontrarp.mp4
DBLSC,LSC0,79,CHIMENEA,SUSTANTIVO,Conducto para dar salida al humo de la combustión. (RAE),SI,2 señas,NO,SI,SI,2 señas,Semi-simétrica (tipo II),Bc,Jb,,,,00079_chimenea.mp4
DBLSC,LSC0,80,ESPERAR,VERBO,"Tener esperanza de conseguir lo que se desea, o permanecer en sitio donde se presume que ha de ocurrir algo. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),N,,,,,00080_esperar.mp4
DBLSC,LSC0,81,SEÑAR,VERBO,"Articular signos lingüísticos con las manos y otras partes del cuerpo, propio de las lenguas de señas. (Generada Gemini)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),J,,,,,00081_señar.mp4
DBLSC,LSC0,82,CURIOSO,ADJETIVO,"Que tiene curiosidad, deseo de saber o averiguar algo. (RAE)",NO,1 seña,SI,SI,NO,1 seña,Unimanual en contacto (tipo X),P,,,,,00082_curioso.mp4
DBLSC,LSC0,83,TREN,SUSTANTIVO,"Medio de transporte que circula sobre raíles, compuesto por uno o más vagones arrastrados por una locomotora. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),J,V,,,,00083_tren.mp4
DBLSC,LSC0,84,MONTARSELA-ALGUIEN,VERBO,"Expresión coloquial de Colombia que significa hostigar, fastidiar o burlarse constantemente de una persona. (Generada Gemini)",NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),S,V,,,,00084_montarsela.mp4
DBLSC,LSC0,85,ENGAÑAR,VERBO,"Dar a la mentira apariencia de verdad, induciendo a alguien a tener por cierto lo que no lo es. (RAE)",NO,1 seña,SI,SI,NO,1 seña,Simétrica (tipo I),Y,,,,,00085_engañar.mp4
DBLSC,LSC0,86,EMBOBAR,VERBO,"Suspender o arrebatar el ánimo a alguien, de modo que se quede como absorto y sin sentido. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),O,,,,,00086_embobar.mp4
DBLSC,LSC0,87,CONFIRMAR,VERBO,"Corroborar la verdad, certeza o la probabilidad de algo. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),Okf,,,,,00087_confirmar.mp4
DBLSC,LSC1,88,SEGURO-PORCENTAJE,SUSTANTIVO,Condición de certeza o garantía cuantificada en una proporción de porcentaje (e.g. 100% seguro). (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),Okf,,,,,00088_seguroporc.mp4
DBLSC,LSC0,89,CALMA,ADJETIVO,"Paz, tranquilidad, ausencia de agitación. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),Bl,,,,,00089_calma.mp4
DBLSC,LSC0,90,POR-FIN_QUE-ALIVIO,ADVERBIO,Expresión de exhalación o liberación emocional ante la resolución de un estado de tensión o espera. (Generada Gemini),SI,2 señas,NO,SI,SI,2 señas,Compuestas (tipo C),Pa,Ok,,,,00090_porfinquea.mp4
DBLSC,LSC1,91,CAMPEON,ADJETIVO,Persona o equipo que obtiene la primacía en un campeonato. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),Gl,,,,,00091_campeon.mp4
DBLSC,LSC0,92,ABRIR,VERBO,Descubrir o hacer patente lo que está cerrado u oculto. (RAE),NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),Bl,,,,,00092_abrir.mp4
DBLSC,LSC1,93,INSTITUTO,SUSTANTIVO,"Establecimiento de índole oficial en que se da enseñanza, o institución consagrada a la investigación. (RAE)",NO,1 seña,SI,SI,NO,1 seña,Asimétrica (tipo III),S,I,,,,00093_instituto.mp4
DBLSC,LSC0,94,YO,SUSTANTIVO,Pronombre personal de primera persona del singular. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),P,,,,,00094_yo.mp4
DBLSC,LSC0,95,CARTELERA-PARED,SUSTANTIVO,"Tablero adosado a un muro destinado a la fijación de avisos, carteles o anuncios públicos. (Generada Gemini)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),A,,,,,00095_cartelerap.mp4
DBLSC,LSC0,96,PAPEL-MATERIAL,SUSTANTIVO,Sustancia o material en formato de hoja delgada constituida por un entramado de fibras vegetales o celulosa. (Generada Gemini),NO,1 seña,SI,SI,NO,1 seña,Simétrica (tipo I),J,,,,,00096_papel.mp4
DBLSC,LSC1,97,TRASNOCHAR,VERBO,"Pasar la noche, o gran parte de ella, velando o sin dormir. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),J,,,,,00097_trasnochar.mp4
DBLSC,LSC1,98,MAREADO,ADJETIVO,"Que padece de mareo, turbación de la cabeza o desvanecimiento. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),J,,,,,00098_mareado.mp4
DBLSC,LSC0,99,DESMAYARSE,VERBO,Perder el sentido o el conocimiento. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),V,,,,,00099_desmayarse.mp4
DBLSC,LSC1,100,TROMPADA,SUSTANTIVO,Golpe fuerte dado con la mano. (RAE),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),S,J,,,,00100_trompada.mp4
DBLSC,LSC0,101,EXTRAÑO,VERBO,"Raro, singular, fuera de lo común. (RAE)",NO,1 seña,SI,SI,NO,1 seña,Unimanual en contacto (tipo X),P,,,,,00101_extraño.mp4
DBLSC,LSC0,102,NEGRO-COSA,ADJETIVO,Marcador de corpus u ontológico para denotar el color negro aplicado exclusivamente a objetos o cosas inanimadas. (Generada Gemini),NO,1 seña,SI,SI,NO,1 seña,Unimanual en contacto (tipo X),F,,,,,00102_negrocosa.mp4
DBLSC,LSC0,103,NEGRO-PERSONA,ADJETIVO,"Marcador de corpus que denota el rasgo fenotípico de piel oscura, raza o etnia negra aplicado a un ser humano. (Generada Gemini)",NO,1 seña,SI,SI,NO,1 seña,Unimanual en contacto (tipo X),N,,,,,00103_negroperso.mp4
DBLSC,LSC0,104,OJOS,SUSTANTIVO,Órganos de la visión (plural de ojo). (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),F,,,,,00104_ojos.mp4
DBLSC,LSC0,105,OREJA,SUSTANTIVO,Órgano externo de la audición. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),Okp,,,,,00105_oreja.mp4
DBLSC,LSC0,106,PESTAÑAS,SUSTANTIVO,Pelos de los que nacen en el borde de los párpados. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),Je,,,,,00106_pestañas.mp4
DBLSC,LSC0,107,PIES,SUSTANTIVO,Extremidades de los dos miembros inferiores del cuerpo humano que sustentan su peso. (RAE),NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),J,J,,,,00107_pies.mp4
DBLSC,LSC0,108,UÑAS,SUSTANTIVO,Partes córneas que nacen y crecen en las extremidades de los dedos. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),Gl,,,,,00108_uñas.mp4
DBLSC,LSC0,109,VELLUDO,ADJETIVO,Que tiene mucho vello. (RAE),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),J,Al,,,,00109_velludo.mp4
DBLSC,LSC0,110,ASUSTADO-SORPRESA,VERBO,Estado fisiológico y emocional que combina la reacción de sobresalto (susto) con el asombro (sorpresa). (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),J,J,,,,00110_asustadoso.mp4
DBLSC,LSC0,111,ASUSTADO-MIEDO1,VERBO,Estado de temor o espanto ante un peligro percibido. (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),Gl,Gl,,,,00111_asustadomi.mp4
DBLSC,LSC0,112,ASUSTADO-MIEDO2,VERBO,Variante de la expresión de temor o espanto en lengua de señas. (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Simétrica (tipo I),Gl,Gl,,,,00112_asutadomie.mp4
DBLSC,LSC0,113,ASUSTADO-GOLPE,VERBO,Sobresalto o susto repentino causado por un impacto físico o un suceso brusco. (Generada Gemini),NO,1 seña,SI,SI,NO,1 seña,Unimanual en contacto (tipo X),Af,,,,,00113_asustadogo.mp4
DBLSC,LSC0,114,NERVIOSO,ADJETIVO,"Que tiene los nervios excitados, alterados o es propenso a este estado. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),J,,,,,00114_nervioso.mp4
DBLSC,LSC0,115,CAMINAR-DESPLAZA,VERBO,"Acción de ir andando de un lugar a otro, con énfasis en el desplazamiento espacial en el corpus. (Generada Gemini)",NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),V,,,,,00115_caminardes.mp4
